"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_trtspecifics","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt1_name","Trt1_details","Trt2_name","Trt2_details","group_level1","group_level2","group_level3","nutrient_groups","Review"
237,126,"1999-2","0","soybean protein","","","1;2","g/kg","ANOVA","mean","0",3,4,354,"1",3,"4",354,"ns","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
238,126,"1999-2","0","soybean protein","","","1;2","g/kg","ANOVA","mean","0",2,4,353,"1",2,"4",353,"ns","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
239,126,"1999-2","0","soybean protein","","","1;2","g/kg","ANOVA","mean","0",3,4,355,"1",3,"4",354,"ns","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
240,126,"1999-2","0","soybean oil","","","1;2","g/kg","ANOVA","mean","0",2,4,184,"1",2,"4",184,"ns","surface_interrow","surface-broadcast urea at 45 kg/ha rate","surface-broadcast urea at 45 kg/ha rate","interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
241,126,"1999-2","0","soybean oil","","","1;2","g/kg","ANOVA","mean","0",3,4,183,"1",3,"4",183,"ns","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
242,126,"1999-2","0","soybean oil","","","1;2","g/kg","ANOVA","mean","0",2,4,184,"1",2,"4",183,"ns","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
243,126,"1999-2","0","soybean oil","","","1;2","g/kg","ANOVA","mean","0",3,4,183,"1",3,"4",183,"ns","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
244,126,"1999-2","0","soybean fiber","","","1;2","g/kg","ANOVA","mean","0",2,4,51,"1",2,"4",51.1,"ns","surface_interrow","surface-broadcast urea at 45 kg/ha rate","surface-broadcast urea at 45 kg/ha rate","interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
245,126,"1999-2","0","soybean fiber","","","1;2","g/kg","ANOVA","mean","0",3,4,51.2,"1",3,"4",51.1,"ns","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
246,126,"1999-2","0","soybean fiber","","","1;2","g/kg","ANOVA","mean","0",2,4,51.2,"1",2,"4",51.1,"ns","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
247,126,"1999-2","0","soybean fiber","","","1;2","g/kg","ANOVA","mean","0",3,4,50.7,"1",3,"4",51,"ns","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean oil, fiber, & protein","Fertilizer Placement","Nutrient Management"
248,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",2,4,31.4,"1",2,"4",30.9,"ns","surface_interrow","surface-broadcast urea at 45 kg/ha rate","surface-broadcast urea at 45 kg/ha rate","interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
249,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",3,4,31.2,"1",3,"4",31.1,"ns","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
250,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",2,4,31.3,"1",2,"4",30.7,"ns","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
251,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",3,4,31.5,"1",3,"4",31.6,"ns","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
252,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",2,4,59.4,"1",2,"4",59.1,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 45 kg/ha rate","surface-broadcast urea at 45 kg/ha rate","interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
253,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",3,4,59.1,"1",3,"4",59.7,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
254,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",2,4,58,"1",2,"4",59.5,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
255,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","g/kg","ANOVA","mean","0",3,4,59,"1",3,"4",59.4,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
256,126,"1999-2","0","soybean biomass","","","1;2","kg/ha","ANOVA","mean","0",2,4,6839,"1",2,"4",7073,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 45 kg/ha rate","surface-broadcast urea at 45 kg/ha rate","interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Growth","Soybean aboveground biomass","Fertilizer Placement","Nutrient Management"
257,126,"1999-2","0","soybean biomass","","","1;2","kg/ha","ANOVA","mean","0",3,4,6993,"1",3,"4",6820,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Growth","Soybean aboveground biomass","Fertilizer Placement","Nutrient Management"
258,126,"1999-2","0","soybean biomass","","","1;2","kg/ha","ANOVA","mean","0",2,4,7030,"1",2,"4",7290,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Growth","Soybean aboveground biomass","Fertilizer Placement","Nutrient Management"
259,126,"1999-2","0","soybean biomass","","","1;2","kg/ha","ANOVA","mean","0",3,4,6979,"1",3,"4",7115,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Growth","Soybean aboveground biomass","Fertilizer Placement","Nutrient Management"
260,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",2,4,216,"1",2,"4",220,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 45 kg/ha rate","surface-broadcast urea at 45 kg/ha rate","interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
261,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",3,4,220,"1",3,"4",214,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
262,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",2,4,221,"1",2,"4",224,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
263,126,"1999-2","0","soybean tissue nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",3,4,220,"1",3,"4",227,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Crop Nutrient Content","Soybean nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
264,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",2,4,180,"1",2,"4",178,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 45 kg/ha rate","surface-broadcast urea at 45 kg/ha rate","interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
265,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",3,4,179,"1",3,"4",179,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 45 kg/ha rate","surface-broadcast polymer coated urea at 45 kg/ha rate","interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
266,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",2,4,177,"1",2,"4",182,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast urea at 90 kg/ha rate","surface-broadcast urea at 90 kg/ha rate","interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
267,126,"1999-2","0","soybean grain nitrogen concentration","","","1;2","kg/ha","ANOVA","mean","0",3,4,178,"1",3,"4",178,"nitrogen fertilizer type x placement of fertilizer x nitrogen rate","surface_interrow","surface-broadcast polymer coated urea at 90 kg/ha rate","surface-broadcast polymer coated urea at 90 kg/ha rate","interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row","","Crop Yields","Grain Quality","Soybean nitrogen uptake","Fertilizer Placement","Nutrient Management"
268,127,"1994-4","0","maize grain yield","","","2","Mg/ha","","mean","0",NA,NA,10.18,"1",NA,"",10.15,"ns","uniform_variable","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
269,127,"1994-4","0","maize grain yield","","","3","Mg/ha","","mean","0",NA,NA,12.18,"1",NA,"",12.09,"ns","uniform_variable","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
270,127,"1994-4","0","maize grain yield","","","4","Mg/ha","","mean","0",NA,NA,11.48,"1",NA,"",11.6,"ns","uniform_variable","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
271,127,"1994-4","0","residual soil nitrate","","0-90 cm","1","Mg/ha","","mean","0",NA,NA,5.35,"1",NA,"",5.22,"ns","uniform_variable","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","Soil Nutrients","Nitrate","Late season (crop stages: harvest & post harvest)","Fertilizer Placement","Nutrient Management"
272,127,"1994-4","0","residual soil nitrate","","0-90 cm","2","Mg/ha","","mean","0",NA,NA,6.03,"1",NA,"",6.19,"ns","uniform_variable","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","Soil Nutrients","Nitrate","Late season (crop stages: harvest & post harvest)","Fertilizer Placement","Nutrient Management"
273,127,"1994-4","0","residual soil nitrate","","0-90 cm","3","Mg/ha","","mean","0",NA,NA,11.91,"1",NA,"",11.3,"0.05","uniform_variable","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","Soil Nutrients","Nitrate","Late season (crop stages: harvest & post harvest)","Fertilizer Placement","Nutrient Management"
274,127,"1994-4","0","residual soil nitrate","","0-90 cm","4","Mg/ha","","mean","0",NA,NA,3.46,"1",NA,"",3.5,"ns","uniform_variable","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","fixed uniform nitrogen rate based on strip average of soil nitrate and organic matter obtained from grid sampling","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","variable rate nitrogen applied at 100% or recommended rate determined at each of the grid sample points based on the soil nitrate and organic matter found at that point","Soil Nutrients","Nitrate","Late season (crop stages: harvest & post harvest)","Fertilizer Placement","Nutrient Management"
275,128,"1997-3","0","maize grain yield","","","1","Mg/ha","LSD","mean","0",NA,NA,11.7,"1",NA,"",11.8,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Grain Yields","Corn","Application Timing","Nutrient Management"
276,128,"1997-3","0","maize grain yield","","","2","Mg/ha","LSD","mean","0",NA,NA,12,"1",NA,"",11.9,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Grain Yields","Corn","Application Timing","Nutrient Management"
277,128,"1997-3","0","maize grain yield","","","3","Mg/ha","LSD","mean","0",NA,NA,9.1,"1",NA,"",11.4,"0.1","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Grain Yields","Corn","Application Timing","Nutrient Management"
278,128,"1997-3","0","silage yield","","","1","Mg/ha","LSD","mean","0",NA,NA,18,"1",NA,"",17.8,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Growth","Corn aboveground biomass","Application Timing","Nutrient Management"
279,128,"1997-3","0","silage yield","","","2","Mg/ha","LSD","mean","0",NA,NA,19,"1",NA,"",18.7,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Growth","Corn aboveground biomass","Application Timing","Nutrient Management"
280,128,"1997-3","0","silage yield","","","3","Mg/ha","LSD","mean","0",NA,NA,13.4,"1",NA,"",16.3,"0.1","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Growth","Corn aboveground biomass","Application Timing","Nutrient Management"
281,128,"1997-3","0","maize total nitrogen","","","1","kg/ha","LSD","mean","0",NA,NA,189,"1",NA,"",185,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Application Timing","Nutrient Management"
282,128,"1997-3","0","maize total nitrogen","","","2","kg/ha","LSD","mean","0",NA,NA,217,"1",NA,"",213,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Application Timing","Nutrient Management"
283,128,"1997-3","0","maize total nitrogen","","","3","kg/ha","LSD","mean","0",NA,NA,144,"1",NA,"",197,"0.1","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Application Timing","Nutrient Management"
284,128,"1997-3","0","maize nitrogen recovery","","","1","%","LSD","mean","0",NA,NA,67.4,"1",NA,"",64.3,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Application Timing","Nutrient Management"
285,128,"1997-3","0","maize nitrogen recovery","","","2","%","LSD","mean","0",NA,NA,91.1,"1",NA,"",88.1,"ns","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Application Timing","Nutrient Management"
286,128,"1997-3","0","maize nitrogen recovery","","","3","%","LSD","mean","0",NA,NA,45,"1",NA,"",87.5,"0.1","timing_fall_spring","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","fall applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","spring applied 123 kg N/ha anhydrous ammonia without a nitrification inhibitor in mid-row","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Application Timing","Nutrient Management"
287,129,"1993-2","0","maize broken stalks","","","1","%","LSD","mean","0",NA,NA,42,"1",NA,"",11,"0.05","preplant_postplant","preplant nitrogen fertilizer applied in early April (1 month before planting of cash crop)","preplant nitrogen fertilizer applied in early April (1 month before planting of cash crop)","postplant nitrogen fertilizer applied in mid June (1.5 months after planting of cash crop)","postplant nitrogen fertilizer applied in mid June (1.5 months after planting of cash crop)","Crop Yields","Crop Damage","Corn stand count damage","Application Timing","Nutrient Management"
288,129,"1993-2","0","maize broken stalks","","","2","%","LSD","mean","0",NA,NA,32,"1",NA,"",26,"0.05","preplant_postplant","preplant nitrogen fertilizer applied in early April (1 month before planting of cash crop)","preplant nitrogen fertilizer applied in early April (1 month before planting of cash crop)","postplant nitrogen fertilizer applied in mid June (1.5 months after planting of cash crop)","postplant nitrogen fertilizer applied in mid June (1.5 months after planting of cash crop)","Crop Yields","Crop Damage","Corn stand count damage","Application Timing","Nutrient Management"
289,129,"1993-2","0","maize broken stalks","","","2","%","LSD","mean","0",NA,NA,156,"1",NA,"",164,"0.05","preplant_postplant","preplant nitrogen fertilizer applied in early April (1 month before planting of cash crop)","preplant nitrogen fertilizer applied in early April (1 month before planting of cash crop)","postplant nitrogen fertilizer applied in mid June (1.5 months after planting of cash crop)","postplant nitrogen fertilizer applied in mid June (1.5 months after planting of cash crop)","Crop Yields","Crop Damage","Corn stand count damage","Application Timing","Nutrient Management"
