"Paper_id","citation","citation_short"
262,"Archer, D.W., Jaradat, A.A., Johnson, J.M-F., Weyers, S.L., Gesch, R.W. Forcella, F., & Kludze, H.K. (2007). Crop productivity and economics during the transition to alternative cropping system. Agronomy Journal, 99(6): 1538-1547. DOI: 10.2134/agronj2006.0364","Archer et al. (2007)"
263,"Viswakumar, A., Mullen, R.W., Sundermeiter, A., & Dygert, C.E. (2008). Tillage and nitrogen application methodology impacts on corn grain yield. Journal of Plant Nutrition, 31(11): 1963-1974. DOI: 10.1080/01904160802403102","Viswakumar et al. (2008)"
264,"Blanco-Canqui, H. & Lal, R. (2008). No-tillage and soil-profile carbon sequestration: An on-farm assessment. Soil Science Society of America Journal, 72: 693-701. DOI: 10.2136/sssaj2007.0233","Blanco-Canqui & Lal (2008)"
265,"Dolliver, H. & Gupta, S. (2008). Antiobiotic losses in leaching and surface runoff from manure-amended agricultural land. Journal of Environmental Quality, 37: 1227-1237. DOI: 10.2134/jeq2007.0392","Dolliver & Gupta (2008)"
266,"Abid, M. & Lal, R. (2008). Tillage and drainage impact on soil quality I. Aggregate stability, carbon and nitrogen pools. Soil & Tillage Research, 100: 89-98. DOI: 10.1016/j.still.2008.04.012","Abid & Lal (2008)"
267,"Lamm, F.R., Aiken, R.M., & Abou Kheira, A.A. (2009). Corn yield and water use characteristics as affected by tillage, plant density, and irrigation. Transactions of the ASABE, 52(1): 133-143. DOI: 10.13031/2013.25954","Lamm et al. (2009)"
268,"Christopher, S.F. , Lal, R., & Mishra, U. (2009). Regional study of no-till effects on carbon sequestration in the Midwestern United States. Soil Science Society of America Journal, 73: 207-216. DOI: 10.2136/sssaj2007.0336","Christopher et al. (2009)"
269,"Pikul, Jr., J.L., Carpenter-Boggs, L., Vigil, M., Schumacher, T.E., Lindstrom, M.J., & Riedell, W.E. (2009). Organic matter and water stability of field aggregates affected by tillage in South Dakota. Soil Science Society of America Journal, 73: 197-206. DOI: 10.2136/sssaj2007.0184","Pikul et al. (2009)"
270,"Ussiri, D.A.N. & Lal, R. (2009). Long-term tillage effects on soil carbon storage and carbon dioxide emissions in continuous corn cropping system from an alfisol in Ohio. Soil & Tillage Research, 104: 39-47. DOI: 10.1016/j.still.2008.11.008","Ussiri & Lal (2009)"
271,"Chatterjee, A. & Lal, R. (2009). On farm assessment of tillage impact on soil carbon and associated soil quality parameters. Soil & Tillage Research, 104: 270-277. DOI: 10.1016/j.still.2009.03.006","Chatterjee & Lal (2009)"
272,"Ussiri, D.A.N., Lal, R., & Jarecki, M.K. (2009). Nitrous oxide and methane emissions from long-term tillage under a continuous corn cropping system in Ohio. Soil & Tillage Research, 104: 247-255. DOI: 10.1016/j.still.2009.03.001","Ussiri et al. (2009)"
273,"Blanco-Canqui, H. & Lal, R. (2009). Extent of soil water repellency under long-term no-till soils. Geoderma, 149: 171-180. DOI: 10.1016/j.geoderma.2008.11.036","Blanco-Canqui & Lal (2009)"
274,"Abid, M. & Lal, R. (2009). Tillage and drainage impact on soil quality II. Tensile strength of aggregates, moisture retention and water infiltration. Soil & Tillage Research, 103: 364-372. DOI: 10.1016/j.still.2008.11.004","Abid & Lal (2009)"
275,"Mishra, U., Ussiri, D.A.N., & Lal, Rattan (2010). Tillage effects on soil organic storage and dynamics in Corn Belt of Ohio USA. Soil & Tillage Research, 107: 88-96. DOI: 10.1016/j.still.2010.02.005","Mishra et al. (2010)"
276,"Varvel, G.E. & Wilhelm, W.W. (2010). Long-term soil organic carbon as affected by tillage and cropping systems. Soil Science Society of America Journal, 74(3): 915-921. DOI: 10.2136/sssaj2009.0362","Varvel & Wilhelm (2010)"
277,"Holanda, F.S.R., Pedrotti, A., Mengel, D.B., de Carvalho, J.G., da Silva, T.O., & Mello, Jr., A.V. (2011). Contribution of tillage systems on the organic matter of Gley soil and the productivity of corn and soybean. Semina: Ciências Agrárias, 32(3): 983-993. DOI: 10.5433/1679-0359.2011v32n3p983","Holanda et al. (2011)"
278,"Omonode, R.A., Smith, D.R., Gal, A., & Vyn, T.J. (2011). Soil nitrous oxide emissions in corn following three decades of tillage and rotation treatments. Soil Science Society of America Journal, 75(1): 152-163. DOI: 10.2136/sssaj2009.0147","Omonode et al. (2011)"
279,"Fathelrahman, E.M., Ascough II, J.C., Hoag, D.L., Malone, R.W., & Heilman, P. (2011). Economic and stochastic efficiency comparison of experimental systems in corn and soybean under risk. Experimental Agriculture, 47: 111-136. DOI: 10.1017/S0014479710000979","Fathelrahman et al. (2011)"
280,"Houx III, J.H., Weibold, W.J., & Fritschi, F.B. (2011). Long-term tillage and crop rotation determines the mineral nutrient distributions of some elements in a Vertic Epiaqualf. Soil & Tillage Research, 112: 27-35. DOI: 10.1016/j.still.2010.11.003","Houx et al. (2011)"
281,"Varvel, G.E. & Wilhelm, W.W. (2011). No-tillage increases soil profile carbon and nitrogen under long-term rainfed cropping systems. Soil & Tillage Research, 114: 28-36. DOI: 10.1016/j.still.2011.03.005","Varvel & Wilhelm (2011)"
282,"Venterea, R.T., Maharjan, B., & Dolan, M.S. (2011). Fertilizer source and tillage effects on yield-scaled nitrous oxide emissions in a corn cropping system. Journal of Environmental Quality, 40: 1521-1531. DOI: 10.2134/jeq2011.0039","Venterea et al. (2011)"
283,"Nila Rekha, P., Kanwar, R.S., Nayak, A.K., Hoang, C.K., & Pederson, C.H. (2011). Nitrate leaching to shallow groundwater systems from agricultural fields with different management practices. Journal of Environmental Monitoring, 13: 2550-2558. DOI: 10.1039/c1em10120j","Nila Rekha et al. (2011)"
284,"Sundermeier, A.P., Islam, K.R., Raut, Y., Reeder, R.C., & Dick, W.A. (2011). Continuous no-till impacts on soil biophysical carbon sequestration. Soil Science Society of America Journal, 75(5): 1779-1788. DOI: 10.2136/sssaj2010.0334","Sundermeier et al. (2011)"
285,"Conley, S.P., Gaska, J.M., Pederson, P., & Esker, P. (2011). Soybean yield and Heterodera glycines response to rotation, tillage, and genetic resistance. Agronomy Journal, 103: 1604-1609. DOI: 10.2134/agronj2011.0043","Conley et al. (2011)"
286,"Kumar, S., Kadono, A., Lal, R., & Dick, W. (2012). Long-term tillage and crop rotations for 47–49 years influences hydrological properties of two soils in Ohio. Soil Science Society of America Journal, 76: 2195-2207. DOI: 10.2136/sssaj2012.0098","Kumar et al. (2012)"
287,"Al-Kaisi, M.M. & Guzman, J.G. (2013). Effects of tillage and nitrogen rate on decomposition of transgenic Bt and near-isogenic non-Bt maize residue. Soil & Tillage Research, 129: 32-39. DOI: 10.1016/j.still.2013.01.004","Al-Kaisi & Guzman (2013)"
288,"Datta, 2013 (2013). Effects of long-term tillage and drainage treatments on greenhouse gas fluxes from a corn field during the fallow period. Agriculture, Ecosystems and Environment, 171: 112-123. DOI: 10.1016/j.agee.2013.03.014","Datta, A., Smith, P., & Lal, R. (2013)"
289,"Karlen, D.L., Kovar, J.L., Cambardella, C.A., & Colvin, T.S. (2013). Thirty-year tillage effects on crop yield and soil fertility indicators. Soil & Tillage Research, 130: 24-41. DOI: 10.1016/j.agee.2013.02.003","Karlen et al. (2013)"
290,"Karlen, D.L., Cambardella, C.A., Kovar, J.L., & Colvin, T.S. (2013). Soil quality response to long-term tillage and crop rotation practices. Soil & Tillage Research, 13: 54-64. DOI: 10.1016/j.still.2013.05.013","Karlen et al. (2013)"
291,"Sindelar, A.J., Coulter, J.A., Lamb, J.A., & Vetsch, J.A. (2013). Agronomic responses of continuous corn to stover, tillage, and nitrogen management. Agronomy Journal, 105: 1498-1506. DOI: 10.2134/agronj2013.0181","Sindelar et al. (2013)"
292,"Kumar, S., Nakajima, T., Mbonimpa, E.G., Gautam, S., Somireddy, U.R., Kadono, A., Lal, R., Chintala, R., Rafique, R., & Fausey, N. (2014). Long-term tillage and drainage influences on soil organic carbon dynamics, aggregate stability and corn yield. Soil Science and Plant Nutrition, 60: 108-118. DOI: 10.1080/0038768.2013.878643","Kumar et al. (2014)"
293,"Jacinthe, P.A., Dick, W.A., Lal, R., Shrestha, R.K., & Bilen, S. (2014). Effects of no-till duration on the methane oxidation capacity of Alfisols. Biology and Fertility of Soils, 50: 477-486. DOI: 10.1007/s00374-013-0866-7","Jacinthe et al. (2014)"
294,"Blanco-Canqui, H., Ferguson, R.B., Shapiro, C.A., Drijber, R.A., & Walters, D.T. (2014). Does inorganic nitrogen fertilization improve soil aggregation? Insights from two long-term tillage experiments. Journal of Environmental Quality, 43: 995-1003. DOI: 10.2134/jeq2013.10.0431","Blanco-Canqui et al. (2014)"
295,"Al-Kaisi, M.M., Douelle, A., & Dwaw-Mensah, D. (2014). Soil microaggregate and macroaggregate decay over time and soil carbon change as influenced by different tillage systems. Journal of Soil and Water Conservation, 69(6): 574-580. DOI: 10.2489/jswc.69.9.574","Al-Kaisi et al. (2014)"
296,"Kumar, S., Nakajima, T., Kadona, A., Lal, R., & Fausey, N. (2014). Long-term tillage and drainage influences on greenhouse gas fluxes from a poorly drained soil of central Ohio. Journal of Soil and Water Conservation, 69(6): 553-563. DOI: 10.2489/jswc.69.9.574","Kumar et al. (2014)"
297,"Campbell, B., Chen, L., Dygert, C., & Dick, W. (2014). Tillage and crop rotation impacts on greenhouse gas fluxes from soil at two long-term agronomic experimental sites in Ohio. Journal of Soil and Water Conservation, 69(6): 543-552. DOI: 10.2489/jswc.69.9.543","Campbell et al. (2014)"
298,"Beniston, J.W., Shipitalo, M.J., Lal, R., Dayton, E.A., Hopkins, D.W., Jones, F., Joynes, A., Dungait, J.A.J. (2015). Carbon and macronutrient losses during accelerated erosion under different tillage and residue management. European Journal of Soil Science, 66: 218-225. DOI: 10.1111/ejss.12205","Beniston et al. (2015)"
299,"Sindelar, A.J., Lamb, J.A., & Coulter, J.A. (2015). Short-term stover, tillage, and nitrogen management affect near-surface soil organic matter. Soil Science Society of America Journal, 79: 251-260. DOI: 10.2136/sssaj2014.08.0337","Sindelar et al. (2015)"
300,"Kane, D.A., Snapp, S.S., & Davis, A.S. (2015). Ridge tillage concentrates potentially mineralizable soil nitrogen, facilitating maize nitrogen uptake. Soil Science Society of America Journal, 79: 81-88. DOI: 10.2136/sssaj2014.07.0273","Kane et al. (2015)"
301,"Aziz, I., Bangash, N., Mahmood, T., & Islam, K.R. (2015). Impact of no-till and conventional tillage practices on soil chemical properties. Pakistan Journal of Botany, 47(1): 297-303. DOI: Unavailable","Aziz et al. (2015)"
302,"Tenesaca, C.G. & Al-Kaisi, M.M. (2015). In-field management of corn cob and residue mix: Effect on soil greenhouse gas emissions. Applied Soil Ecology, 89: 59-68. DOI: 10.1016/j.apsoil.2015.01.007","Tenesaca & Al-Kaisi (2015)"
303,"Sindelar, A.J., Coulter, J.A., Lamb, J.A., & Vetsch, J.A. (2015). Nitrogen, stover, and tillage management affect nitrogen use efficiency in continuous corn. Agronomy Journal, 107(3): 843-850. DOI: 10.2134/agronj14.0535","Sindelar et al. (2015)"
304,"Al-Kaisi, M.M., Archontoulis, S.V., Kwaw-Mensah, D., & Miguez, F. (2015). Tillage and crop rotation effects on corn agronomic response and economic return at seven Iowa locations. Agronomy Journal, 107(4): 1411-1424. DOI: 10.2134/agronj14.0470","Al-Kaisi et al. (2015)"
305,"Pantoja, J.L, Woli, K.P., Sawyer, J.E., Barker, D.W., & Al-Kaisi, M. (2015). Stover harvest and tillage system effects on corn response to fertilizer nitrogen. Soil Science Society of America Journal, 79(4): 1249-1260. DOI: 10.2136/sssaj2015.01.0039","Pantoja et al. (2015)"
306,"Villamil, M.B., Little, J., & Nafziger, E.D. (2015). Corn residue, tillage, and nitrogen rate effects on soil properties. Soil & Tillage Research, 151: 61-66. DOI: 10.1016/j.still.2015.03.005","Villamil et al. (2015)"
307,"Villamil, M.B. & Nafziger, E.D. (2015). Corn residue, tillage, and nitrogen rate effects on soil carbon and nutrient stocks in Illinois. Geoderma, 253-254: 61-66. DOI: 10.1016/j.geoderma.2015.04.002","Villamil & Nafziger (2015)"
308,"Sindelar, A.J., Lamb, J.A., Coulter, J.A., Sheaffer, C.C., & Vetsch, J.A. (2015). Nitrogen and tillage management affect corn cellulosic yield composition, and ethanol potential. Bioenergy Research, 8(3): 1284-1291. DOI: 10.1007/s12155-015-9586-1","Sindelar et al. (2015)"
309,"Sindelar, A.J., Schmer, M.R., Jin, V.L., Wienhold, B.J., & Varvel, G.E. (2015). Long-term corn and soybean response to crop rotation and tillage. Agronomy Journal, 107: 2241-2252. DOI: 10.2134/agronj15.0085","Sindelar et al. (2015)"
310,"Negassa, W., Price, R.F., Basir, A., Snapp, S.S., & Kravchenko, A. (2015). Cover crop and tillage systems effect on soil CO2 and N2O fluxes in contrasting topographic positions. Soil & Tillage Research, 154: 64-74. DOI: 10.1016/j.still.2015.06.015","Negassa et al. (2015)"
311,"Varsa, E.C., Chong, S.K., Abolaji, D.A., Farquhar, D.A., & Olsen, F.J. (1997). Effect of deep tillage on soil physical characteristics and corn (Zea mays L.) root growth and production. Soil & Tillage Research, 43: 219-228. DOI: 10.1016/S0167-1987(97)00041-X","Varsa et al. (1997)"
312,"Kibet, L.C., Blanco-Canqui, H., & Jasa, P. (2016). Long-term tillage impacts on soil organic carbon components and related properties on a Typic Argiudoll. Soil & Tillage Research, 155: 78-84. DOI: 10.1016/j.still.2015.05.006","Kibet et al. (2016)"
313,"Marburger, D.A., Mourtzinis, S., Gaska, J.M., & Conley, S.P. (2016). Do crop rotation and tillage influence soybean seed-applied inoculant decisions?. Agronomy Journal, 108: 402-406. DOI: 10.2134/agronj2015.0331","Marburger et al. (2016)"
314,"Nakajima, T. & Lal, R. (2014). Tillage and drainage management effect on soil gas diffusivity. Soil & Tillage Research, 135: 71-78. DOI: 10.1016/j.still.2013.09.003","Nakajima & Lal (2014)"
315,"Haruna, S.I. & Nkongolo, N.V. (2015). Effects of tillage, rotation and cover crop on the physical properties of a silt-loam soil. International Agrophysics, 29: 137-145. DOI: 10.1515/intag-2015-0030","Haruna & Nkongolo (2015)"
316,"Liu, M., Ussiri, D.A.N., & Lal, R. (2016). Soil organic carbon and nitrogen fractions under different land uses and tillage. Communications in Soil Science and Plant Analysis, 47(12): 1528-1541. DOI: 10.1080/00103624.2016.1194993","Liu et al. (2016)"
317,"Al-Kaisi, M.M., Archontoulis, S., & Kwaw-Mensah, D. (2016). Soybean spatiotemporal yield and economic variability as affected by tillage and crop rotation. Agronomy Journal, 108: 14-Jan. DOI: 10.2134/agronj2015.0363","Al-Kaisi et al. (2016)"
318,"Ruan, L. & Robertson, G.P. (2013). Initial nitrous oxide, carbon dioxide, and methane costs of converting conservation reserve program grassland to row crops under no-till vs. convetional tillage. Global Change Biology, 19: 2478-2489. DOI: 10.1111/gcb.12216","Ruan & Robertson (2013)"
319,"Farmer, J.A., Bradley, K.W., Young, B.G., Steckel, L.E., Johnson, W.G., Norsworthy, J.K., Davis, V.M., & Loux, M.M. (2017). Influence of tillage method on management of Amaranthus species in soybean. Weed Technology, 31: 20-Oct. DOI: 10.1614/WT-D-16-00061.1","Farmer et al. (2017)"
320,"Karbo, A., Woodard, H.J., & Bly, A. (2017). Crop production impacts on soil phosphorous removal and soil test levels. Journal of Plant Nutrition, 40(8): 1172-1179. DOI: 10.1080/01904167.2016.1264594","Karbo et al. (2017)"
321,"Lowry, C. & Brainard, D.C. (2017). Rye-vetch spatial arrangement and tillage: Impacts on soil nitrogen and sweet corn roots. Agronomy Journal, 109(3): 1013-1023. DOI: 10.2134/agronj2016.09.0507","Lowry & Brainard (2017)"
322,"Mourtzinis, S., Marburger, D., Gaska, J., Diallo, T., Lauer, J., Conley, S. (2017). Corn and soybean yield response to rillage, rotation, and nematicide seed treatment. Crop Science, 57: 9-Jan. DOI: 10.2135/cropsci2016.09.0792","Mourtzinis et al. (2017)"
323,"Jin, V.L., Schmer, M.R., Stewart, C.E., Sindelar, A.J., & Varvel, G.E. (2017). Long-term no-till and stover retention each decrease the global warming potential of irrigated continuous corn. Global Change Biology, 23(7): 2848-2862. DOI: 10.1111/gcb.13637","Jin et al. (2017)"
324,"Alhameid, A., Ibrahim, M., Kumar, S., Sexton, P., & Schumacher, T.E. (2017). Soil organic carbon changes impacted by crop rotation diversity under no-till farming in South Dakota, USA. Soil Science Society of America Journal, 81(4): 868-877. DOI: 10.2136/sssaj2016.14.0121","Alhameid et al. (2017)"
325,"Blanco-Canqui, H., Wienhold, B.J., Jin, V.L., Schmer, M.R., & Leonard, C.K. (2017). Long-term tillage impact on soil hydraulic properties. Soil & Tillage Research, 170: 38-42. DOI: 10.1016/j.still.2017.03.001","Blanco-Canqui et al. (2017)"
326,"Wander, M.M., Bidart, M.G., & Aref, S. (1998). Tillage impacts on depth distribution of total and particulate organic matter in three Illinois Soils. Soil Science Society of America Journal, 62: 1704-1711. DOI: 10.2136/sssaj1998.03615995006200060031x","Wander et al. (1998)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
NA," (NA). . , : . DOI: "," (NA)"
