Res_key,Review_id,Paper_id,Duration,Loc_multi_results,Response_var,RV_trtspecifics,RV_depth,RV_year,Response_var_units,Stat_test,Stat_type,Trt1,Trt1_int,Trt1_int2,Trt1_value,Trt2,Trt2_int,Trt2_int2,Trt2_value,significance,finelevel_group,Trt1_name,Trt1_details,Trt2_name,Trt2_details,Tillage_1,Tillage_2,group_level1,group_level2,group_level3,per_change,actual_diff,sample_depth,sample_year,nutrient_groups,Trt_1name,Trt_2name,Trt_compare,Review
160,,125,2009-2,0,maize grain nitrogen concentration,,,2,g N/kg,lsmeans,mean,0,NA,NA,11.9,1,NA,,11.5,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Grain Quality,Corn nitrogen uptake,-3.361344538,-0.4,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
162,,125,2009-2,0,maize grain nitrogen concentration,,,1,g N/kg,lsmeans,mean,0,NA,NA,11.9,2,NA,,12.5,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Grain Quality,Corn nitrogen uptake,5.042016807,0.6,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
162,,125,2009-2,0,maize grain nitrogen concentration,,,2,g N/kg,lsmeans,mean,0,NA,NA,11.9,2,NA,,12.5,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Grain Quality,Corn nitrogen uptake,5.042016807,0.6,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
166,,125,2009-2,0,maize stover nitrogen concentration,,,1,g N/kg,lsmeans,mean,0,NA,NA,6.6,1,NA,,5.9,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-10.60606061,-0.7,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
166,,125,2009-2,0,maize stover nitrogen concentration,,,2,g N/kg,lsmeans,mean,0,NA,NA,6.6,1,NA,,5.9,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-10.60606061,-0.7,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
168,,125,2009-2,0,maize stover nitrogen concentration,,,1,g N/kg,lsmeans,mean,0,NA,NA,6.6,2,NA,,6.8,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,3.03030303,0.2,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
168,,125,2009-2,0,maize stover nitrogen concentration,,,2,g N/kg,lsmeans,mean,0,NA,NA,6.6,2,NA,,6.8,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,3.03030303,0.2,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
172,,125,2009-2,0,maize grain nitrogen yield,,,1,kg N/kg,lsmeans,mean,0,NA,NA,127,1,NA,,120,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Grain Quality,Corn nitrogen uptake,-5.511811024,-7,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
172,,125,2009-2,0,maize grain nitrogen yield,,,2,kg N/kg,lsmeans,mean,0,NA,NA,127,1,NA,,120,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Grain Quality,Corn nitrogen uptake,-5.511811024,-7,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
174,,125,2009-2,0,maize grain nitrogen yield,,,1,kg N/kg,lsmeans,mean,0,NA,NA,127,2,NA,,136,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Grain Quality,Corn nitrogen uptake,7.086614173,9,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
174,,125,2009-2,0,maize grain nitrogen yield,,,2,kg N/kg,lsmeans,mean,0,NA,NA,127,2,NA,,136,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Grain Quality,Corn nitrogen uptake,7.086614173,9,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
178,,125,2009-2,0,maize total aboveground nitrogen yield,,,1,kg N/kg,lsmeans,mean,0,NA,NA,186,1,NA,,177,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-4.838709677,-9,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
178,,125,2009-2,0,maize total aboveground nitrogen yield,,,2,kg N/kg,lsmeans,mean,0,NA,NA,186,1,NA,,177,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-4.838709677,-9,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
180,,125,2009-2,0,maize total aboveground nitrogen yield,,,1,kg N/kg,lsmeans,mean,0,NA,NA,186,2,NA,,201,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,8.064516129,15,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
180,,125,2009-2,0,maize total aboveground nitrogen yield,,,2,kg N/kg,lsmeans,mean,0,NA,NA,186,2,NA,,201,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,8.064516129,15,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
184,,125,2009-2,0,nitrogen fertilizer recovery efficiency,,,1,%,lsmeans,mean,0,NA,NA,68.2,1,NA,,63,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-7.624633431,-5.2,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
184,,125,2009-2,0,nitrogen fertilizer recovery efficiency,,,2,%,lsmeans,mean,0,NA,NA,68.2,1,NA,,63,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.20 m,knife-injected anhydrous ammonia with a target depth of 0.20 m,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-7.624633431,-5.2,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
186,,125,2009-2,0,nitrogen fertilizer recovery efficiency,,,1,%,lsmeans,mean,0,NA,NA,68.2,2,NA,,76.5,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,12.17008798,8.3,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
186,,125,2009-2,0,nitrogen fertilizer recovery efficiency,,,2,%,lsmeans,mean,0,NA,NA,68.2,2,NA,,76.5,ns,surface_knife,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application,knife-injected anhydrous ammonia with a target depth of 0.10 m,knife-injected anhydrous ammonia with a target depth of 0.10 m,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,12.17008798,8.3,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
232,,126,1999-2,0,soybean yield,,,1,kg/ha,ANOVA,mean,0,2,4,3483,1,2,4,3460,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,-0.660350273,-23,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
232,,126,1999-2,0,soybean yield,,,2,kg/ha,ANOVA,mean,0,2,4,3483,1,2,4,3460,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,-0.660350273,-23,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
233,,126,1999-2,0,soybean yield,,,1,kg/ha,ANOVA,mean,0,3,4,3465,1,3,4,3460,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,-0.144300144,-5,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
233,,126,1999-2,0,soybean yield,,,2,kg/ha,ANOVA,mean,0,3,4,3465,1,3,4,3460,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,-0.144300144,-5,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
234,,126,1999-2,0,soybean yield,,,1,kg/ha,ANOVA,mean,0,2,4,3502,1,2,4,3505,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,0.085665334,3,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
234,,126,1999-2,0,soybean yield,,,2,kg/ha,ANOVA,mean,0,2,4,3502,1,2,4,3505,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,0.085665334,3,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
235,,126,1999-2,0,soybean yield,,,1,kg/ha,ANOVA,mean,0,3,4,3466,1,3,4,3442,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,-0.692440854,-24,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
235,,126,1999-2,0,soybean yield,,,2,kg/ha,ANOVA,mean,0,3,4,3466,1,3,4,3442,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Yields,Soybean,-0.692440854,-24,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
236,,126,1999-2,0,soybean protein,,,1,g/kg,ANOVA,mean,0,2,4,353,1,2,4,352,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.283286119,-1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
236,,126,1999-2,0,soybean protein,,,2,g/kg,ANOVA,mean,0,2,4,353,1,2,4,352,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.283286119,-1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
237,,126,1999-2,0,soybean protein,,,1,g/kg,ANOVA,mean,0,3,4,354,1,3,4,354,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
237,,126,1999-2,0,soybean protein,,,2,g/kg,ANOVA,mean,0,3,4,354,1,3,4,354,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
238,,126,1999-2,0,soybean protein,,,1,g/kg,ANOVA,mean,0,2,4,353,1,2,4,353,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
238,,126,1999-2,0,soybean protein,,,2,g/kg,ANOVA,mean,0,2,4,353,1,2,4,353,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
239,,126,1999-2,0,soybean protein,,,1,g/kg,ANOVA,mean,0,3,4,355,1,3,4,354,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.281690141,-1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
239,,126,1999-2,0,soybean protein,,,2,g/kg,ANOVA,mean,0,3,4,355,1,3,4,354,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.281690141,-1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
240,,126,1999-2,0,soybean oil,,,1,g/kg,ANOVA,mean,0,2,4,184,1,2,4,184,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
240,,126,1999-2,0,soybean oil,,,2,g/kg,ANOVA,mean,0,2,4,184,1,2,4,184,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
241,,126,1999-2,0,soybean oil,,,1,g/kg,ANOVA,mean,0,3,4,183,1,3,4,183,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
241,,126,1999-2,0,soybean oil,,,2,g/kg,ANOVA,mean,0,3,4,183,1,3,4,183,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
242,,126,1999-2,0,soybean oil,,,1,g/kg,ANOVA,mean,0,2,4,184,1,2,4,183,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.543478261,-1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
242,,126,1999-2,0,soybean oil,,,2,g/kg,ANOVA,mean,0,2,4,184,1,2,4,183,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.543478261,-1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
243,,126,1999-2,0,soybean oil,,,1,g/kg,ANOVA,mean,0,3,4,183,1,3,4,183,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
243,,126,1999-2,0,soybean oil,,,2,g/kg,ANOVA,mean,0,3,4,183,1,3,4,183,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0,0,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
244,,126,1999-2,0,soybean fiber,,,1,g/kg,ANOVA,mean,0,2,4,51,1,2,4,51.1,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0.196078431,0.1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
244,,126,1999-2,0,soybean fiber,,,2,g/kg,ANOVA,mean,0,2,4,51,1,2,4,51.1,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0.196078431,0.1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
245,,126,1999-2,0,soybean fiber,,,1,g/kg,ANOVA,mean,0,3,4,51.2,1,3,4,51.1,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.1953125,-0.1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
245,,126,1999-2,0,soybean fiber,,,2,g/kg,ANOVA,mean,0,3,4,51.2,1,3,4,51.1,ns,surface_interrow,surface-broadcast polymer coated urea at 45 kg/ha rate,surface-broadcast polymer coated urea at 45 kg/ha rate,interrow banded polymer coated urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.1953125,-0.1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
246,,126,1999-2,0,soybean fiber,,,1,g/kg,ANOVA,mean,0,2,4,51.2,1,2,4,51.1,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.1953125,-0.1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
246,,126,1999-2,0,soybean fiber,,,2,g/kg,ANOVA,mean,0,2,4,51.2,1,2,4,51.1,ns,surface_interrow,surface-broadcast urea at 90 kg/ha rate,surface-broadcast urea at 90 kg/ha rate,interrow banded urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",-0.1953125,-0.1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
247,,126,1999-2,0,soybean fiber,,,1,g/kg,ANOVA,mean,0,3,4,50.7,1,3,4,51,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0.591715976,0.3,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
247,,126,1999-2,0,soybean fiber,,,2,g/kg,ANOVA,mean,0,3,4,50.7,1,3,4,51,ns,surface_interrow,surface-broadcast polymer coated urea at 90 kg/ha rate,surface-broadcast polymer coated urea at 90 kg/ha rate,interrow banded polymer coated urea at 90 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Grain Quality,"Soybean oil, fiber, & protein",0.591715976,0.3,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
248,,126,1999-2,0,soybean tissue nitrogen concentration,,,1,g/kg,ANOVA,mean,0,2,4,31.4,1,2,4,30.9,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Crop Nutrient Content,Soybean nitrogen content of aboveground biomass,-1.592356688,-0.5,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
248,,126,1999-2,0,soybean tissue nitrogen concentration,,,2,g/kg,ANOVA,mean,0,2,4,31.4,1,2,4,30.9,ns,surface_interrow,surface-broadcast urea at 45 kg/ha rate,surface-broadcast urea at 45 kg/ha rate,interrow banded urea at 45 kg/ha rate where banding occurred in a narrow trench of soil 5 cm wide by 5 cm deep located midway between every other soybean row,,,,Crop Yields,Crop Nutrient Content,Soybean nitrogen content of aboveground biomass,-1.592356688,-0.5,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
