"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt_1name","Trt1_details","Trt_2name","Trt2_details","group_level1","group_level2","group_level3","pm_group1","pm_group2","Review","per_change","actual_diff"
903,77,"1987-2",0,"Y-plants (a plant with two growing points which then develops into a plant with two stems)",NA,1,"%","orthogonal contrasts","mean",0,7,NA,6.8,3,7,NA,0.2,"0.05","untreated_seedI","untreated","untreated soybean seed, third planting date (18 days after cover crop incorporation)","diazinon; lindane; captan (Agrox D-L Plus)","diazinon (0.33% w/w), lindane (15.0% w/w) and captan (14.67% w/w) applied at rate of 2.25 g formulation / kg seed in a bucket, third planting date (18 days after cover crop incorporation)","Crop Yields","Crop Growth","Soybean (seedling development)","Fungicide","Seed","Early Season Pest Management",-97.0588235294118,-6.6
904,77,"1987-2",0,"Y-plants (a plant with two growing points which then develops into a plant with two stems)",NA,1,"%","orthogonal contrasts","mean",0,7,NA,6.8,4,7,NA,0.8,"0.05","untreated_seedI","untreated","untreated soybean seed, third planting date (18 days after cover crop incorporation)","diazinon; lindane; captan (Agrox D-L Plus)","diazinon (0.33% w/w), lindane (15.0% w/w) and captan (14.67% w/w) applied at rate of 2.25 g formulation / kg seed hopper box treatment, third planting date (18 days after cover crop incorporation)","Crop Yields","Crop Growth","Soybean (seedling development)","Fungicide","Seed","Early Season Pest Management",-88.2352941176471,-6
905,77,"1987-2",0,"Y-plants (a plant with two growing points which then develops into a plant with two stems)",NA,2,"%","orthogonal contrasts","mean",0,7,NA,2.9,3,7,NA,2.1,"ns","untreated_seedI","untreated","untreated soybean seed, third planting date (18 days after cover crop incorporation)","diazinon; lindane; captan (Agrox D-L Plus)","diazinon (0.33% w/w), lindane (15.0% w/w) and captan (14.67% w/w) applied at rate of 2.25 g formulation / kg seed in a bucket, third planting date (18 days after cover crop incorporation)","Crop Yields","Crop Growth","Soybean (seedling development)","Fungicide","Seed","Early Season Pest Management",-27.5862068965517,-0.8
906,77,"1987-2",0,"Y-plants (a plant with two growing points which then develops into a plant with two stems)",NA,2,"%","orthogonal contrasts","mean",0,7,NA,2.9,4,7,NA,3.3,"ns","untreated_seedI","untreated","untreated soybean seed, third planting date (18 days after cover crop incorporation)","diazinon; lindane; captan (Agrox D-L Plus)","diazinon (0.33% w/w), lindane (15.0% w/w) and captan (14.67% w/w) applied at rate of 2.25 g formulation / kg seed hopper box treatment, third planting date (18 days after cover crop incorporation)","Crop Yields","Crop Growth","Soybean (seedling development)","Fungicide","Seed","Early Season Pest Management",13.7931034482759,0.4
911,95,"2002-3",1,"soybean grain yield",NA,3,"q/ha (quintal/hectare)","Dunnett","mean",0,NA,NA,27.94,8,NA,NA,28.13,"ns","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Crop Yields","Grain Production","Soybean","Pyrethroid (Insecticide)","Foliar","Early Season Pest Management",0.68002863278453,0.189999999999998
912,95,"2002-3",1,"soybean grain yield",NA,3,"q/ha (quintal/hectare)","Dunnett","mean",0,NA,NA,53.05,8,NA,NA,54.04,"ns","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Crop Yields","Grain Production","Soybean","Pyrethroid (Insecticide)","Foliar","Early Season Pest Management",1.86616399622998,0.990000000000002
913,95,"2002-3",2,"soybean grain yield",NA,3,"q/ha (quintal/hectare)","Dunnett","mean",0,NA,NA,38.52,8,NA,NA,37.24,"ns","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Crop Yields","Grain Production","Soybean","Pyrethroid (Insecticide)","Foliar","Early Season Pest Management",-3.32294911734164,-1.28
914,96,"2002-3",2.5,"soybean grain yield",NA,2,"q/ha (quintal/hectare)","Dunnett","mean",0,NA,NA,21.77,8,NA,NA,24.09,"0.05","untreated_foliarI","untreated","untreated soybean","esfenvalerate","soybean foliage sprayed with esfenvalerate (2 applications, 43.74 g ai/ha + 54.69 g ai/ha)","Crop Yields","Grain Production","Soybean","Pyrethroid (Insecticide)","Foliar","Early Season Pest Management",10.6568672485071,2.32
915,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,22,NA,NA,2.6,"0.05","untreated_bandI","untreated","untreated maize seed","ethoprop; phorate (Holdem 20G)","banded insecticide, ethoprop/phorate (170 g ai/ha, Holdem 20G) ","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate & Pyrethroid (Insecticide)","Soil","Early Season Pest Management",-89.8832684824903,-23.1
917,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,23,NA,NA,11.3,"0.05","untreated_bandI","untreated","untreated maize seed","ethoprop; phorate (Holdem 20G)","banded insecticide, ethoprop/phorate (226 g ai/ha, Holdem 20G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate & Pyrethroid (Insecticide)","Soil","Early Season Pest Management",-56.0311284046693,-14.4
919,94,"1992-2",0,"maize stand count",NA,1,"#","BLSD","mean",0,NA,NA,29,3,NA,NA,31,"ns","untreated_seedF","untreated","untreated maize (sweet)","fluazinam","maize (sweet) treated with fluazinam (0.6 g ai/kg) seed treatment","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",6.89655172413793,2
919,94,"1992-2",0,"maize stand count",NA,2,"#","BLSD","mean",0,NA,NA,29,3,NA,NA,31,"ns","untreated_seedF","untreated","untreated maize (sweet)","fluazinam","maize (sweet) treated with fluazinam (0.6 g ai/kg) seed treatment","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",6.89655172413793,2
920,94,"1992-2",0,"maize plant height",NA,1,"cm","BLSD","mean",0,NA,NA,29,3,NA,NA,29,"ns","untreated_seedF","untreated","untreated maize (sweet)","fluazinam","maize (sweet) treated with fluazinam (0.6 g ai/kg) seed treatment","Crop Yields","Crop Growth","Corn (crop height)","Fungicide","Seed","Early Season Pest Management",0,0
920,94,"1992-2",0,"maize plant height",NA,2,"cm","BLSD","mean",0,NA,NA,29,3,NA,NA,29,"ns","untreated_seedF","untreated","untreated maize (sweet)","fluazinam","maize (sweet) treated with fluazinam (0.6 g ai/kg) seed treatment","Crop Yields","Crop Growth","Corn (crop height)","Fungicide","Seed","Early Season Pest Management",0,0
921,74,"1989-2",0,"maize plant death due to black cutworms",NA,1,"#","Fisher's LSD","mean",0,NA,NA,23.6,8,NA,NA,11.2,"ns","untreated_bandI","untreated","untreated maize seed","flucythrinate; phorate (Astar 15G)","banded insecticide, flucythrinate/phorate (226 g ai/ha, Astar 15G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management",-52.5423728813559,-12.4
923,75,"2002-2",0,"maize stand count",NA,1,"# plants / ha","LSMeans","mean",0,NA,NA,367319,5,NA,NA,328736,"0","untreated_seedF","untreated","untreated maize seed","fludioxonil","fludioxonil (0.03 g ai/kg seed)","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-10.5039488836679,-38583
923,75,"2002-2",0,"maize stand count",NA,2,"# plants / ha","LSMeans","mean",0,NA,NA,367319,5,NA,NA,328736,"0","untreated_seedF","untreated","untreated maize seed","fludioxonil","fludioxonil (0.03 g ai/kg seed)","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-10.5039488836679,-38583
924,75,"2002-2",0,"maize yield",NA,1,"mg / ha","LSMeans","mean",0,NA,NA,3.45,5,NA,NA,3.12,"0.01","untreated_seedF","untreated","untreated maize seed","fludioxonil","fludioxonil (0.03 g ai/kg seed)","Crop Yields","Grain Production","Corn","Fungicide","Seed","Early Season Pest Management",-9.56521739130435,-0.33
924,75,"2002-2",0,"maize yield",NA,2,"mg / ha","LSMeans","mean",0,NA,NA,3.45,5,NA,NA,3.12,"0.01","untreated_seedF","untreated","untreated maize seed","fludioxonil","fludioxonil (0.03 g ai/kg seed)","Crop Yields","Grain Production","Corn","Fungicide","Seed","Early Season Pest Management",-9.56521739130435,-0.33
926,90,"2004-2",0,"soybean stand count",NA,1,"# plants/ha","LSD","mean",0,NA,NA,400400,2,NA,NA,409900,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",2.37262737262737,9500
926,90,"2004-2",0,"soybean stand count",NA,2,"# plants/ha","LSD","mean",0,NA,NA,400400,2,NA,NA,409900,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",2.37262737262737,9500
927,90,"2004-2",0,"soybean plant height",NA,1,"cm","LSD","mean",0,NA,NA,93.7,2,NA,NA,93.5,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Crop Growth","Soybean (crop height)","Fungicide","Seed","Early Season Pest Management",-0.213447171824976,-0.200000000000003
927,90,"2004-2",0,"soybean plant height",NA,2,"cm","LSD","mean",0,NA,NA,93.7,2,NA,NA,93.5,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Crop Growth","Soybean (crop height)","Fungicide","Seed","Early Season Pest Management",-0.213447171824976,-0.200000000000003
928,90,"2004-2",0,"soybean lodging score (range: 1 = no lodging to 5 = completely lodged)",NA,1,"score (1-5)","LSD","mean",0,NA,NA,1.8,2,NA,NA,1.8,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Crop Damage","Soybean (# lodged)","Fungicide","Seed","Early Season Pest Management",0,0
928,90,"2004-2",0,"soybean lodging score (range: 1 = no lodging to 5 = completely lodged)",NA,2,"score (1-5)","LSD","mean",0,NA,NA,1.8,2,NA,NA,1.8,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Crop Damage","Soybean (# lodged)","Fungicide","Seed","Early Season Pest Management",0,0
929,90,"2004-2",0,"soybean grain moisture",NA,1,"g/kg","LSD","mean",0,NA,NA,105,2,NA,NA,104,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",-0.952380952380952,-1
929,90,"2004-2",0,"soybean grain moisture",NA,2,"g/kg","LSD","mean",0,NA,NA,105,2,NA,NA,104,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",-0.952380952380952,-1
930,90,"2004-2",0,"soybean seed mass",NA,1,"g/100 seed","LSD","mean",0,NA,NA,12.7,2,NA,NA,12.4,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",-2.36220472440944,-0.299999999999999
930,90,"2004-2",0,"soybean seed mass",NA,2,"g/100 seed","LSD","mean",0,NA,NA,12.7,2,NA,NA,12.4,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",-2.36220472440944,-0.299999999999999
931,90,"2004-2",0,"soybean grain yield",NA,1,"Mg/ha","LSD","mean",0,NA,NA,4.2,2,NA,NA,4.2,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Production","Soybean","Fungicide","Seed","Early Season Pest Management",0,0
931,90,"2004-2",0,"soybean grain yield",NA,2,"Mg/ha","LSD","mean",0,NA,NA,4.2,2,NA,NA,4.2,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Production","Soybean","Fungicide","Seed","Early Season Pest Management",0,0
932,90,"2004-2",0,"soybean grain oil",NA,1,"g/kg","LSD","mean",0,NA,NA,196,2,NA,NA,195,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",-0.510204081632653,-1
932,90,"2004-2",0,"soybean grain oil",NA,2,"g/kg","LSD","mean",0,NA,NA,196,2,NA,NA,195,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",-0.510204081632653,-1
933,90,"2004-2",0,"soybean grain protein",NA,1,"g/kg","LSD","mean",0,NA,NA,349,2,NA,NA,350,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",0.286532951289398,1
933,90,"2004-2",0,"soybean grain protein",NA,2,"g/kg","LSD","mean",0,NA,NA,349,2,NA,NA,350,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Crop Yields","Grain Quality","Soybean","Fungicide","Seed","Early Season Pest Management",0.286532951289398,1
936,78,"1991-1",6,"maize grain yield",NA,1,"100 kg/ha","LSD","mean",10,23,NA,141,15,23,NA,134,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Grain Production","Corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-4.9645390070922,-7
937,78,"1991-1",6,"maize grain yield",NA,1,"100 kg/ha","LSD","mean",10,24,NA,151,15,24,NA,148,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Grain Production","Corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-1.98675496688742,-3
938,78,"1991-1",6,"maize grain yield",NA,1,"100 kg/ha","LSD","mean",10,25,NA,152,15,25,NA,143,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Grain Production","Corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-5.92105263157895,-9
939,78,"1991-1",6,"maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)",NA,1,"%","LSD","mean",10,20,23,0,15,20,23,0,"ns","untreated_furrowI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","fonofos","in-furrow organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Crop Growth","Corn (reduction in vigor)","Organophosphate (Insecticide)","Soil","Early Season Pest Management",0,0
940,78,"1991-1",6,"maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)",NA,1,"%","LSD","mean",10,20,24,0,15,20,24,3,"ns","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","in-furrow organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Crop Yields","Crop Growth","Corn (reduction in vigor)","Organophosphate (Insecticide)","Soil","Early Season Pest Management",300,3
941,78,"1991-1",6,"maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)",NA,1,"%","LSD","mean",10,20,25,2,15,20,25,7,"0.05","untreated_furrowI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","in-furrow organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 35 g/ha herbicide (Nicosulfuron)","Crop Yields","Crop Growth","Corn (reduction in vigor)","Organophosphate (Insecticide)","Soil","Early Season Pest Management",250,5
942,78,"1991-1",6,"maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)",NA,1,"%","LSD","mean",10,21,23,0,15,21,23,0,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Crop Growth","Corn (reduction in vigor)","Organophosphate (Insecticide)","Soil","Early Season Pest Management",0,0
943,78,"1991-1",6,"maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)",NA,1,"%","LSD","mean",10,21,24,0,15,21,24,2,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Crop Growth","Corn (reduction in vigor)","Organophosphate (Insecticide)","Soil","Early Season Pest Management",200,2
944,78,"1991-1",6,"maize vigor reduction at 6 weeks (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)",NA,1,"%","LSD","mean",10,21,25,3,15,21,25,2,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","fonofos","T-band organophosphate (fonofos 20% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Crop Growth","Corn (reduction in vigor)","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-33.3333333333333,-1
945,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,21,NA,NA,10.2,"0.05","untreated_furrowI","untreated","untreated maize seed","fonofos (Dyfonate II 15CG)","in-furrow insecticide, fonofos (226 g ai/ha, Dyfonate II 15CG)","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-60.3112840466926,-15.5
947,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,25,NA,NA,5.4,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos (Dyfonate II 20G)","banded insecticide, fonofos (170 g ai/ha, Dyfonate II 20G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-78.988326848249,-20.3
949,74,"1989-2",0,"maize plant death due to black cutworms",NA,1,"#","Fisher's LSD","mean",0,NA,NA,23.6,11,NA,NA,21,"ns","untreated_bandI","untreated","untreated maize seed","fonofos (Dyfonate II 20G)","banded insecticide, fonofos (170 g ai/ha, Dyfonate II)","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-11.0169491525424,-2.6
951,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,17,NA,NA,7.5,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos (Dyfonate II 20G)","banded insecticide, fonofos (226 g ai/ha, Dyfonate II 15CG)","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-70.8171206225681,-18.2
953,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,27,NA,NA,7.7,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos (Dyfonate II 20G)","banded insecticide, fonofos (226 g ai/ha, Dyfonate II 15G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-70.0389105058366,-18
955,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,26,NA,NA,7,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos (Dyfonate II 20G)","banded insecticide, fonofos (340 g ai/ha, Dyfonate II 10G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Organophosphate (Insecticide)","Soil","Early Season Pest Management",-72.7626459143969,-18.7
957,74,"1989-2",0,"maize plant death due to black cutworms",NA,1,"#","Fisher's LSD","mean",0,NA,NA,23.6,5,NA,NA,1.3,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos; pyrethroid (Dyfonate II; ICIA0321 20.2G)","banded insecticide, fonofos/pyrethroid (170 g ai/ha, Dyfonate II + ICIA0321 20.2G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management",-94.4915254237288,-22.3
959,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,24,NA,NA,1.2,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos; pyrethroid (Dyfonate II; ICIA0321 20.2G)","banded insecticide, fonofos/pyrethroid (170 g ai/ha, Dyfonate II + ICIA0321 20.2G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management",-95.3307392996109,-24.5
961,74,"1989-2",0,"maize plant death due to black cutworms",NA,1,"#","Fisher's LSD","mean",0,NA,NA,23.6,3,NA,NA,3.2,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos; pyrethroid (Dyfonate II; ICIA0321 20.2G)","banded insecticide, fonofos/pyrethroid (170 g ai/ha, Dyfonate II + ICIA0321 20.4G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management",-86.4406779661017,-20.4
963,74,"1989-2",0,"maize plant death due to black cutworms",NA,2,"#","Fisher's LSD","mean",0,NA,NA,25.7,3,NA,NA,0,"0.05","untreated_bandI","untreated","untreated maize seed","fonofos; pyrethroid (Dyfonate II; ICIA0321 20.2G)","banded insecticide, fonofos/pyrethroid (170 g ai/ha, Dyfonate II + ICIA0321 20.4G)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management",-100,-25.7
967,94,"1992-2",0,"maize stand count",NA,1,"#","BLSD","mean",0,NA,NA,29,4,NA,NA,16,"0.05","untreated_seedF","untreated","untreated maize (sweet)","imazalil","maize (sweet) treated with imazalil (0.1 g ai/kg) seed treatment","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-44.8275862068966,-13
967,94,"1992-2",0,"maize stand count",NA,2,"#","BLSD","mean",0,NA,NA,29,4,NA,NA,16,"0.05","untreated_seedF","untreated","untreated maize (sweet)","imazalil","maize (sweet) treated with imazalil (0.1 g ai/kg) seed treatment","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-44.8275862068966,-13
968,94,"1992-2",0,"maize plant height",NA,1,"cm","BLSD","mean",0,NA,NA,29,4,NA,NA,31,"ns","untreated_seedF","untreated","untreated maize (sweet)","imazalil","maize (sweet) treated with imazalil (0.1 g ai/kg) seed treatment","Crop Yields","Crop Growth","Corn (crop height)","Fungicide","Seed","Early Season Pest Management",6.89655172413793,2
968,94,"1992-2",0,"maize plant height",NA,2,"cm","BLSD","mean",0,NA,NA,29,4,NA,NA,31,"ns","untreated_seedF","untreated","untreated maize (sweet)","imazalil","maize (sweet) treated with imazalil (0.1 g ai/kg) seed treatment","Crop Yields","Crop Growth","Corn (crop height)","Fungicide","Seed","Early Season Pest Management",6.89655172413793,2
969,89,"2005-2",0,"soybean grain yield",NA,1,"kg/ha","LSD","mean",0,NA,NA,4243.38,1,NA,NA,4163.38,"ns","untreated_seedI","untreated","untreated soybean","imidacloprid","soybean with imidacloprid (62.5 g ai/100 kg of seed) seed treatment","Crop Yields","Grain Production","Soybean","Neonicotinoid (Insecticide)","Seed","Early Season Pest Management",-1.88528955690982,-80
970,89,"2005-2",0,"soybean grain yield",NA,1,"kg/ha","LSD","mean",0,NA,NA,36.06,1,NA,NA,38.53,"ns","untreated_seedI","untreated","untreated soybean","imidacloprid","soybean with imidacloprid (62.5 g ai/100 kg of seed) seed treatment","Crop Yields","Grain Production","Soybean","Neonicotinoid (Insecticide)","Seed","Early Season Pest Management",6.84969495285635,2.47
971,89,"2005-2",0,"soybean grain yield",NA,2,"kg/ha","LSD","mean",0,NA,NA,3641.7,1,NA,NA,4199.38,"0.05","untreated_seedI","untreated","untreated soybean","imidacloprid","soybean with imidacloprid (62.5 g ai/100 kg of seed) seed treatment","Crop Yields","Grain Production","Soybean","Neonicotinoid (Insecticide)","Seed","Early Season Pest Management",15.3137271054727,557.68
972,89,"2005-2",0,"soybean grain yield",NA,2,"kg/ha","LSD","mean",0,NA,NA,137.74,1,NA,NA,71.89,"0.05","untreated_seedI","untreated","untreated soybean","imidacloprid","soybean with imidacloprid (62.5 g ai/100 kg of seed) seed treatment","Crop Yields","Grain Production","Soybean","Neonicotinoid (Insecticide)","Seed","Early Season Pest Management",-47.8074633367214,-65.85
973,89,"2005-2",0,"soybean seeds per gram",NA,2,"# seeds/g","LSD","mean",0,NA,NA,7.19,1,NA,NA,6.89,"0.05","untreated_seedI","untreated","untreated soybean","imidacloprid","soybean with imidacloprid (62.5 g ai/100 kg of seed) seed treatment","Crop Yields","Grain Quality","Soybean","Neonicotinoid (Insecticide)","Seed","Early Season Pest Management",-4.17246175243395,-0.300000000000001
974,89,"2005-2",0,"soybean seeds per gram",NA,2,"# seeds/g","LSD","mean",0,NA,NA,0.06,1,NA,NA,0.11,"0.05","untreated_seedI","untreated","untreated soybean","imidacloprid","soybean with imidacloprid (62.5 g ai/100 kg of seed) seed treatment","Crop Yields","Grain Quality","Soybean","Neonicotinoid (Insecticide)","Seed","Early Season Pest Management",83.3333333333333,0.05
1005,83,"2011-3",0,"soybean stand count (2 year average)",NA,2,"plants/ha","LSD","mean",0,NA,NA,259000,9,NA,NA,287000,"0.1","untreated_seedIFN","untreated","untreated soybeans","imidicloprid; clothianidin; trifloxystrobin; metalaxyl; biofungicide (Trilex 2000; Yield Shield; Gaucho 600; Poncho/VOTiVO)","Trilex 2000 + Yield Shield + Gaucho 600 + Poncho/VOTiVO","Crop Yields","Stand Count","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management",10.8108108108108,28000
1006,83,"2011-3",0,"soybean yield (2 year average)",NA,2,"kg/ha","LSD","mean",0,NA,NA,4356,9,NA,NA,4407,"ns","untreated_seedIFN","untreated","untreated soybeans","imidicloprid; clothianidin; trifloxystrobin; metalaxyl; biofungicide (Trilex 2000; Yield Shield; Gaucho 600; Poncho/VOTiVO)","Trilex 2000 + Yield Shield + Gaucho 600 + Poncho/VOTiVO","Crop Yields","Grain Production","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management",1.17079889807163,51
