"","Paper_id","results_short2","results_long2"
"29",29,"They found the abundance of soybean aphids reduced with winter rye cover crops compared to winter fallow.  They found higher number of cumulative predator-days in winter fallow compared to winter rye, but this could be due to the higher pest abundance in winter fallow.  They found exposure of aphid populations to predators similar among plots with winter rye and winter fallow except for marginal increases at one site in one year. ","""In the present on-farm evaluation of this cover cropping system, A. glycines populations on soybean were suppressed in the system with the rye cover crop at five of six location-years.""
crop remain to be determined. Significant differences in predator abundance were found between treatments at three of five location-years (predators were not recorded at one location-year). When these differences occurred, predators were more abundant on soybean without the cover crop, which is where aphid abundance was greatest. This suggests that predators were responding more to aphid density than to plant diversity or the rye cover crop per se. ""The exposure analysis examining the biological control potential (i.e. cumulative predator-days per aphid) in the plots, revealed no significant differences between treatments at any location-year; however, at Lamberton in 2006, cumulative predator-days per aphid could be considered marginally higher in plots with rye compared with without rye (P=0.0586). Parasitoids were not included in analyses because only 16 parasitized aphids (i.e. mummies) were observed across all sample dates of all location-years (R. L. Koch, unpublished data)."""
"30",30,"They found winter rye cover crops reduced subsurface drainage concentrations and annual yields of nitrate.  They found winter rye cover crops had no significant impact on subsurface drainage total reactive phosphorous annual conncentrations or yields ","Winter rye cover crop reduced subsurface nitrate yields and concentrations, but has no significant effect on phosphorous leachates. Flow-weighted total reactive phosphorous concentrations of subsurface drainage waters collected twice weekly were generally low when compared with other reports in the literature, ranging from <0.005 to 2.68 mg TRP L-1 with 0.04, 0.02, and 317 as the mean, median, and percent coefficient of variation, respectively. In contrast to the cumulative annual NO3–N yields, cumulative annual total reactive phosphorous yields did not significantly differ among cropping systems."
"31",31,"They found winter rye either reduced or had no affect on maize aboveground biomass compared to winter fallow.  They found winter rye/hairy vetch cover crop mixture either reduced or had no affect on maize aboveground biomass compared to winter fallow.  They found hairy vetch cover crop either increased or had no affect on maize aboveground biomass compared to winter fallow.  They found winter rye reduced  maize plant height compared to winter fallow.  They found hairy vetch had no affect on maize plant height compared to winter fallow.  They found winter rye/hairy vetch cover crop mixture reduced maize plant height coompared to winter fallow. ","Maize grown following hairy vetch cover crops consistently out performed maize grown after rye, rye/vetch mixture, and winter fallow even with fertilizers added (0, 90, 180, 270 kg N / ha). Maize productivity was stunted when grown after rye cover crops compared to all treatments examined including winter fallow. Maize grown following hairy vetch cover crops consistently out performed maize grown after rye, rye/vetch mixture, and winter fallow."
"32",32,"They found winter rye reduced ammonium concentrations in soil following cover crop termination.  They found winter rye reduced dissolved organic nitrogen concentrations in soil following cover crop termination.  They found winter rye reduced microbial biomass nitrogen in soil following cover crop termination.  They found winter rye reduced nitrate in soil following cover crop termination.  They found winter rye reduced nitrate and ammonium in soil following cover crop termination.  They found winter rye had no affect on nitrogen in macro or particulate organic matter following cover crop termination.  They found winter rye had no affect on total nitrogen down to 1 meter following cover crop termination. ","Growing a rye cover crop following maize consistently reduces quanitites of soil nitrogen."
"33",33,"They found soybean plants density decreased when a mixture of tillage radish and hairy vetch cover crops was grown  compared to winter fallow.  They found soybean plants density decreased when a mixture of tillage radish and winter rye cover crops  was grown compared to winter fallow.  They found soybean plants density decreased when a mixture of tillage radish and winter triticale cover crops was grown compared to winter fallow.  They found similar soybean plant densities when tillage radish was grown as a cover crop compared to winter fallow.  They found similar soybean plant densities when a tillage radish and buckwheat mixture was grown as a cover crop compared to winter fallow.  They found similar amounts of plant available phosphorous when tillage radish was grown as a cover crop compared to winter fallow.  They found similar amounts of plant available phosphorous whena  tillage radish and buckwheat mixture was grown as a cover crop compared to winter fallow.  They found similar amounts of plant available phosphorous when a tillage radish and hairy vetch mixture was grown as a cover crop compared to winter fallow.  They found similar amounts of plant available phosphorous when a tillage radish and winter rye mixture was grown as a cover crop compared to winter fallow.  They found similar amounts of plant available phosphorous when a tillage radish and winter triticale mixture was grown as a cover crop compared to winter fallow.  They found soil nitrate decreased when tillage radish was grown compared to winter fallow.  They found soil nitrate decreased when a mixture of tillage radish and buckwheat was grown compared to winter fallow.  They found soil nitrate decreased when a mixture of tillage radish and hairy vetch was grown compared to winter fallow.  They found soil nitrate decreased when a mixture of tillage radish and winter rye was grown compared to winter fallow.  They found soil nitrate decreased when a mixture of tillage radish and winter triticale was grown compared to winter fallow.  They found soybean yields decreased when a mixture of tillage radish and winter rye cover crops  was grown compared to winter fallow.  They found soybean yields decreased when a mixture of tillage radish and winter triticale cover crops  was grown compared to winter fallow.  They found similar soybean yields when tillage radish was grown as a cover crop compared to winter fallow.  They found similar soybean yields when a mixture of tillage radish and buckwheat was grown as a cover crop compared to winter fallow.  They found similar soybean yields when a mixture of tillage radish and hairy vetch was grown as a cover crop compared to winter fallow.  They found similar total carbon in the soil when tillage radish was grown as a cover crop compared to winter fallow.  They found similar total carbon in the soil when a mixture of tillage radish and buckwheat was grown as a cover crop compared to winter fallow.  They found similar total carbon in the soil when a mixture of tillage radish and hairy vetch was grown as a cover crop compared to winter fallow.  They found similar total carbon in the soil when a mixture of tillage radish and winter rye was grown as a cover crop compared to winter fallow.  They found similar total carbon in the soil when a mixture of tillage radish and winter triticale was grown as a cover crop compared to winter fallow.  They found similar total nitrogen in the soil when tillage radish was grown as a cover crop compared to winter fallow.  They found similar total nitrogen in the soil when a mixture of tillage radish and buckwheat was grown as a cover crop compared to winter fallow.  They found similar total nitrogen in the soil when a mixture of tillage radish and hairy vetch was grown as a cover crop compared to winter fallow.  They found similar total nitrogen in the soil when a mixture of tillage radish and winter rye was grown as a cover crop compared to winter fallow.  They found similar total nitrogen in the soil when a mixture of tillage radish and winter triticale was grown as a cover crop compared to winter fallow.  They found similar water aggregate stability in soils when tillage radish was grown as a cover crop compared to winter fallow.  They found similar water aggregate stability in soils when a mixture of tillage radish and buckwheat was grown as a cover crop compared to winter fallow.  They found similar water aggregate stability in soils when a mixture of tillage radish and hairy vetch was grown as a cover crop compared to winter fallow.  They found similar water aggregate stability in soils when a mixture of tillage radish and winter rye was grown as a cover crop compared to winter fallow.  They found similar water aggregate stability in soils when a mixture of tillage radish and winter triticale was grown as a cover crop compared to winter fallow. ","Soybean population was greatest when radish, radish/buckwheat, or no cover crop was grown. Soybean densities decreased when radish/hairy vetch, radish/triticale, or radish/rye preceeded soybean. Yields were most reduced with radish/rye cover crops. After one year of cover crops, there were no significant changes in the amont of available phosphorous in the soil. All cover crops tested reduced soil nitrate levels. Radish mixed with triticale, rye or hairvy vetch reduced  soil nitrate levels the most. Soybean yields were similar among radish, radish/buckwheat, radish/hairy vetch, radish/rye, and winter fallow treatments. Reduced yields were observed with radish/rye and radish triticale cover crops. After one year of cover crops, there were no significant changes in the amont of total carbon in the soil. After one year of cover crops, there were no significant changes in the amont of total nitrogen in the soil. After one year of cover crops, there were no significant changes in the percent of water stable aggregates in the soil."
"34",34,"They found similar grain yields with winter rye compared to winter fallow.  They found similar grain yields with hairy vetch before maize and  winter rye before soybean compared to winter fallow.  They found similar grain yields with a mixture of winter rye and hairy vetch before maize and winter rye before soybean compared to winter fallow. ","Soybean grain yield was not affected by the treatments. Grand mean soybean grain yields was 2.8 Mg / ha. The variance component of the random effect of year (0.43 Mg2 / ha2) was 2.5 times larger than the residual (0.17 Mg2 / ha2). Thus, most of the variation in yields was due to the differences in environmental conditions experienced each year. The small contributions of the variance components of year x rotation (0 Mg2 / ha2) and year x N rate (0.01 Mg2 / ha2) interactions suggest that the weather conditions affected treatments equally and were the major determinant of grain yield."
"35",35,"They found maize grain yields were significantly higher when a winter cover crop was grown in the second and third year of the study compared to winter fallow.  They found similar levels of soil nitrate with winter triticale compared to winter fallow two out of three years.  They found similar levels of soil nitrate with winter-filled oat compared to winter fallow.  They found similar levels of soil nitrate with winter rye compared to winter fallow. ","""Subsequent corn grain yields were significantly higher in 2 of 3 years where cover crops were grown and were simliar following winter-filled oat, winter triticale, and winter rye with and without the top growth removed. The lack of significant grain yield differences between the rye cover crop with and without the top growth removed suggests that any benefical cover crop effect is mainly associated with the presence of a cover crop in the crop sequence rather than the top growth. In addition to the general benefit of providing wind erosion control on sandy soils, results from this study show that fall-planted cover crops such as oat, winter triticale, and winter rye can provide significant yield benefits to the subsequent corn crop at slightly lower nitrogen fertilizer rates (20 kg / ha) in some years."" Compared to winter fallow, soil nitrate levels following cover crop termination were relatively unaffected by the winter cover crops used in this three year study (winter triticale, winter-filled oat, and winter rye). The only exception being winter triticale which had reduced soil nitrate levels in the second year of the study only."
"36",36,"They found similar bulk density values in plots with oat cover crops and winter fallow.  They found similar bulk density values in plots with winter rye cover crops and winter fallow.  They found similar bulk density values in plots with a mixture of oat and winter rye cover crops and winter fallow.  They found maize yields were lower with winter rye compared to winter fallow  They found maize yields were lower with a mixture of winter rye and oat compared to winter fallow  They found maize yields were similar with oat compared to winter fallow  They found soil carbon concentrations were similar with oat cover crops compared to winter fallow.  They found soil carbon concentrations were similar with winter rye cover crops compared to winter fallow.  They found soil carbon concentrations were similar with a mixture of winter rye and oat cover crops compared to winter fallow.  They found soybean yields were similar with oat cover crops compared to winter fallow.  They found soybean yields were similar with winter rye cover crops compared to winter fallow.  They found soybean yields were similar with a mixture of winter rye and oat cover crops compared to winter fallow. ","""Bulk density corrected for landscape variation using terrain covariates was signficantly affected only by year and not by rotation phase, cover crop treatments, or interactions. Bulk density was significantly greater in 2001 than in 2000."" Averaged over 6 years, corn yields of the no-cover crop control and the oat treatment were greater than those of the rye and oat-rye treatments. Cover crops had no effect on soil carbon concentration in this study. ""Cover crop treatments and the interaction of cover crops and years did not have a significant effect on soybean yields. Cover crops were overseeded into soybean in late August at about the time that soybean plants usually began losing leaves and had almost finished seed fill."""
"37",37,"They found soil bulk density (0-30 cm depth) was similar with winter rye cover crops compared to winter fallow.  They found cumulative nitrous oxide flux was similar with winter rye cover crops compared to winter fallow.  They found maize yields were similar with winter rye cover crops compared to winter fallow.  They found soil ammonium concentrations were similar with winter rye cover crops compared to winter fallow.  They found soil nitrate concentrations were similar with winter rye cover crops compared to winter fallow.  They found soil organic carbon content was similar with winter rye cover crops compared to winter fallow.  They found soil organic nitrogen content was similar with winter rye cover crops compared to winter fallow.  They found soybean yields were similar with winter rye cover crops compared to winter fallow. ","In this no-tillage corn-soybean system, rye cover crops had no effect on soil properties, nitrous oxide fluxes, or crop yields."
"38",38,"They found cover crops had no impact on soil ammonium concentrations compared to winter fallow.  They found cover crops had no impact on soil bulk density compared to winter fallow.  They found cover crops had no impact on exchangeable potassium concentrations compared to winter fallow.  They found cover crops had no impact on maize yields compared to winter fallow.  They found cover crops had no impact on soil nitrate compared to winter fallow.  They found soil pH was lower when tillage radish or rape were grown as cover crops, but spring oat, red clover, ceral rye, hairy vetch, and annual ryegrass had no impact on soil nitrate compared to winter fallow.  They found cover crops had no impact on plant available phosphorous compared to winter fallow.  They found cover crops had no impact on soil organic matter compared to winter fallow.  They found cover crops had no impact on soil penetration resistance compared to winter fallow.  They found cover crops had no impact on soybean yield compared to winter fallow.  They found cover crops had no impact on total soil carbon compared to winter fallow.  They found cover crops had no impact on total inorganic nitrogen compared to winter fallow.  They found cover crops had no impact on water aggregate stability compared to winter fallow. ","In this two year study, corn-soybean rotations that included cover crops compared to winter fallow did not show any significant change in soil ammonium concentractions. In this two year study, corn-soybean rotations that included cover crops compared to winter fallow did not show any significant change in soil bulk density. In this two year study, corn-soybean rotations that included cover crops compared to winter fallow did not show any significant change in exchangeable posstassium concentrations. ""Cover crops did not affect cash crop yields in either tillage or no-tillage systems, but tillage decreased the yield of soybean during our production cycle."" ""Compared to no cover crop, corn-soybean rotations that included cover crops other than cereal rye did not show any significant change on soil attributes after one cycle of production. Including cereal rye after corn harvest within the corn-soybean rotation decreased available soil nitrogen by about 42% but no other cover crop affected soil nitrogen."" ""Compared to no cover crop, corn-soybean rotations that included cover crops other than cereal rye did not show any significant change on soil attributes after one cycle of production."""
"39",39,"They found rye winter cover crop led to reduced maize yields in two of the six years. Yields were similar in the other four years of the experiment.  They found rye winter cover crop led to reduced concentrations of soil nitrate when maize was at V6 stage in two out of six years. Soil nitrate was similar in the other four years of the experiment.  They found nitrate loss through drainage water was reduced when rye was included as a cover crop in two of the six years of this experiment. Losses were similar in the other four years compared to no winter cover crop. ","""Statistically significant treatment effects (p < 0.05) were detected for grain yields and biomass in 2012 and 2013. The inclusion of a rye cover crop decreased maize yield by 34% (2.6 Mg / ha) and biomass by 22% (4.0 Mg / ha) when compared to continous corn in 2012. The cover crop yield penalty was less severe in 2013, with reductions of 22% (1.9 Mg / ha) in grain yield and 14% (2.6 Mg / ha) in biomass when compared to continuous corn. Both 2012 and 2013 were dry years. No significant treatment effects in maize biomass and grain yields were observed in 2009, 2010, 2011, and 2014. Across the six years, the average yield penalty in the continuous corn with rye cover crop was 6%."" "" Soil nitrate measurements at V6 (about 40 days after rye termination) showed an averaged treatment difference (no cover crop vs. rye winter cover crop of about 12 kg N / ha)."" ""Over the six-year period, inclusion of rye cover crop reduced measured cumulative drained water and nitrate losses in subsurface drainage by 12.1% and 20.4% respectively. However, statistically signficant treatment differences (p < 0.05) were not found in any of the studied years for annual water drainage, and only 2011 and 2012 for nitrate losses. When adjusted for nitrogen application rates nitrate losses were also only significantly reduced in 2011 and 2012, with 31% reduction in the amount of nitrate loss per kg of nitrogen applied. The highest nitrate loss values were recorded in the wet years for both treatments."""
"40",40,"They found mixtures of winter rye and Austrian pea cover crops did not increase the invertebrate predation rates compared to winter fallow.  They found mixtures of winter rye and Austrian pea cover crops did not increase mean predator abundance compared to winter fallow.  They found mixtures of winter rye and Austrian pea cover crops did not increase mean predator diversity compared to winter fallow. ","""The inclusion of a winter annual cover crop did not increase the abundance or diversity of the invertebrate predator community or elevate predation rates. Although early in the growing season arthropod communities in cover crop systems differed from those occuring on bare soil in continuous maize, these differences did not continue after maize was planted. These results were consistent across both experimental years in both states. Instead, predator abundance, diversity and predation rates were similar in magnitude to annual maize without a cover crop"""
"41",41,"They found maize yields were similar when winter rye was grown as a cover crop compared to winter fallow.  They found when winter rye was terminated late the mean weight of water stable aggregates increased compared to no cover crop and early termination.  They found winter rye did not affect total carbon in the soil during the three years of the study at the rainfed site.  They found winter rye did not affect total particulate organic matter (POM) in the soil during the three years of the study at the rainfed site. At the irrigated site, rye winter cover crops terminated late in the spring increased the quantity of POM.  They found winter rye cover crops did not affect quantities total nitrogen in the soil during the three years of the study. ","Maize yields were among plots with winter rye cover crops and winter fallow in both irrigated and rainfed systems. There were also no differences in maize yields when winter rye was terminated during early spring or late (post seed head development). Maize yields were among plots with winter rye cover crops and winter fallow in both irrigated and rainfed systems. Yield was unaffected by cover crops. ""The results from this study show a decrease in the size of water-stable aggregates with complete residue removal at the rainfed site and general decrease in size of water-stable aggregates at the irrigated site after three years suggest that excessive residue removal could increase water erosion potential. The increase in wet aggregate stability with late-terminated cover crops and lack of change in wet aggegate stability between early-terminated cover crop and no cover crop at both sites strongly suggest that late-terminated cover crops can improve soil structural quality and reduce water erosion potential regardless of irrigation regime. The increased wet aggegate stability under late-terminated cover crop relative to early-terminated cover crop can be due to the greater biomass production under late-terminated cover crops."" Total carbon in the soil was unimpacted by winter rye cover crops compared to winter fallow in this three year study. The termination timing of the winter rye (early or late) also did not have an impact on total soil carbon. In this three year study, winter rye had no effect on total particulate organic matter (POM) at the rainfed site. However, at the irrigated site, rye winter cover crops terminated late in the spring increased the quantity of POM in the soil. Total soil nitrogen was unimpacted with winter rye compared to winter fallow even when it was terminated early or late in this three year study. How the fields were irrigated (rainfed or irrigation) did not alter this outcome."
"42",42,"They found of all the cover crops tested (cereal rye, winter wheat, annual ryegrass, Austrian winter peas, crimson clover, hairy vetch, oilseed radish, winter oats, and cereal rye mixed with hairy vetch) only cereal rye and cereal rye mixed with hairy vetch reduced early season waterhemp densities compared to winter fallow.  They found of all the cover crops tested (cereal rye, winter wheat, annual ryegrass, Austrian winter peas, crimson clover, hairy vetch, oilseed radish, winter oats, and cereal rye mixed with hairy vetch) Austrian winter pea and cereal rye were the only cover crops that reduced late annual weed densities compared to winter fallow.  They found of all the cover crops tested (cereal rye, winter wheat, annual ryegrass, Austrian winter peas, crimson clover, hairy vetch, oilseed radish, winter oats, and cereal rye mixed with hairy vetch) Austrian winter peas, winter oat, cereal rye, and winter wheat suppressed late season waterhemp compared to winter fallow.  They found all the cover crop studied decreased the density of winter weeds. ","These results indicated that cereal rye, Italian ryegrass, winter wheat, winter oat, crimson clover, Austrian winter pea, hairy vetch, oilseed radish, and cereal rye plus hairy vetch are each able to provide some degree of winter annual weed suppression, but that only certain cover crop species, such as cereal rye or cereal rye plus legume mixes, are able to provide reductions in early-season summer annual weed emergence similar to those seen with residual herbicide programs. Austrian winter pea and cereal rye were the only cover crops that reduced late annual weed densities compared to winter fallow. Austrian winter peas, winter oat, cereal rye, and winter wheat suppressed late season waterhemp compared to winter fallow. ""These results indicated that cereal rye, Italian ryegrass, winter wheat, winter oat, crimson clover, Austrian winter pea, hairy vetch, oilseed radish, and cereal rye plus hairy vetch are each able to provide some degree of winter annual weed suppression."""
"43",43,"They found the abundance of ants (Formicidae) collected from the soil surface in maize and soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of beetles (Coleoptera) collected from the soil surface in soybean increased with the inclusion of a rye winter cover crop compared to winter fallow, but beetles were unaffected in maize systems.  They found the abundance of Chalcid (wasps) collected from aboveground tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of crickets (Gryllidae) collected from the soil surface in soybean decreased with the inclusion of a rye winter cover crop compared to winter fallow, but beetles were unaffected in maize systems.  They found the abundance of damsel bugs (Nabidae) collected from aboveground tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of green lacewings (Chrysopidae) collected from aboveground tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of Harvestmen arachnids (Opiliones) collected from the soil surface in maize were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of hoverflies (Syrphidae) collected from aboveground tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the total abundance of invertebrates collected from aboveground tissue and the soil surface in soybean and maize were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of lady beetles (Coccinellidae) collected from aboveground plant tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of millipedes (Diplopoda) collected from the soil surface in maize and soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of Minute Pirate Bugs (Anthocoridae) collected from aboveground tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of parasitic flies (Tachinidae) collected from aboveground tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of spiders (Araneae) collected from aboveground tissue in soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow.  They found the abundance of wolf spiders (Lycosidae) collected from the soil surface in maize and soybean were unaffected by the inclusion of a rye winter cover crop compared to winter fallow. ","Most invertebrate taxa collected from both the soil surface and on aboveground crop tissue were unaffected by the inclusion of a rye winter cover crop compared to winter fallow in this three year study. The exceptions were crickets (decreased abundance with cover crops) and beetles (increased abundance with cover crops)."
"44",44,"They found soil organic nitrogen mineralization increased with cover crops compared to no cover crops when soils were frozen. Mineralization rates were similar when soils were not frozen.  They found cereal rye winter cover crops had no affect on soil organic carbon content (0-15 cm depth). ","Nitrogen mineralization rates increased with cereal rye cover crops compared to winter fallow when soils experience a freeze-thaw cycle. Cereal rye cover crops had no effects on nitrogen mineralization when the soils remained unfrozen. Rye winter cover crops had no effects on the soil parameters measured in this experiment which included organic carbon, total nitrogen, inorganic nitrogen (i.e. ammonium and nitrate), and pH."
"45",45,"They found carbon dioxide emissions increased with winter rye cover crops compared to no cover crop in the depression and slope locations within a field.  They found nitrous oxide emissions were unaffected by rye cover crops.  They found soil moisture and temperature were unaffected by rye cover crops. ","""Presence of rye cover crop increased carbon dioxide emissions across all topographical positions; however, counterintuitively, the largest increases in carbon dioxide emissions due to cover crop presence were observed in the depression areas where amounts of rye biomass inputs were the lowest. Across both years and both study sites, the regression slopes between carbon dioxide emissions and temperatures were significantly higher in the cover crop than in the no cover plots."" ""No significant effect on mean values of nitrous oxide emissions from either cover crop presence or tillage was detected, likely resulting from extremely high variability of nitrous oxide data."" ""Tillage systems and rye cover crop presence did not significantly influence soil moisture and temperature: with only slightly numerically higher soil moisture levels observed in the ridge tillage."" Average soil temperature and moisture of the two season differed among topographical positions, with the highest soil moisture observed at depressions and the highest temperature at slopes."""
"46",46,"They found the effect of cover crop treatments on the soybean cyst nematode egg densities varied yearly among the three sites included in the study.  They found cover crops affected soybean yield differently at all three locations.  They found maize yields were unaffected by all cover crop treatments at two of the three sites. At the third site, reductions in yields occurred with all three of the cover crops tested. ","This study examined the effects of interseeding alfalfa, red clover, and perennial ryegrass into soybean either 0 or 2 weeks after planting soybean. Cover crops were managed with one of two herbicide regimes (imazethapyr or quixalofop-p-ethyl + bentazon). Broadly, the effect of cover crop treatments on the soybean cyst nematode egg densities varied among the three sites included in the study. At the Waseca, MN site in the first year, cover crops had no affect on soybean cyst nematode egg population. In the second year, egg densities increased with perennial ryegrass winter cover crop terminated with  quixalofop-p-ethyl + bentazon herbicides compared to no winter cover crops with the same herbicides applied for weed management. At the Lamberton, MN site, alfalfa and red clover managed with imazethapyr reduced egg densities in the first and second year of the study while perennial ryegrass had no affect on egg densities in either year of the study. the Rosemount, MN site, alfalfa and red clover managed with no other herbicide regime reduced egg densities in the first year of the study. In the second year, the density of soybean cyst nematode eggs decreased with red clover cover crops terminated with imazethapyr only. All other cover crops and herbicide regimes had no affect on egg densities. At Waseca, MN, perennial ryegrass resulted in lower soybean yields compared to its control, whereas yields following alfalfa and red clover were similar to their controls. At Lamberton, MN, alfalfa resulted in lower yield compared to its control, red clover planted at the same time as the cash crop resulted in lower yields, and perennial ryegrass had no effect on soybean yields. Finally, at Rosemount, MN, only alfalfa planted with the cash crop resulted in reduced yields compared to its control. All other cover crops and planting dates had no significant effects on soybean yields. At Waseca or Rosemount, MN, there were no effects of cover crop treatment on maize yields. However, at Lamberton, MN, alfalfa and red clover planted early, as well as, perennial ryegrass planted late all resulted in reduced maize yields compared to their control. All other cover crop treatments had no effect on maize yields."
"47",47,"They found no impact of winter rye cover crops compared to winter fallow on soil bulk density over a seven year period.  They found winter rye cover crops can impact soil texture with changes in the percent sand and silt.  They found volumetric water saturation was unaffected by winter rye cover crops compared to winter fallow.  They found water content at field capacity increased with winter rye cover crops compared to winter fallow.  They found no differences in permanent wilting points measurements between winter rye cover crops and winter fallow.  They found significant increases  for plant available water with winter rye cover crop compared to the no cover crop treatment.  They found no effect of winter rye on maize grain yields compared to winter fallow.  They found no effect of winter rye on soybean grain yields compared to winter fallow. ","Soil bulk density was unaffected by winter rye cover crops at both the 0-15 cm and 15-30 cm depths. Changes in the percent sand, silt, and clay were measured from 0-15 cm and 15 cm depth in this 7 year experiment. Percent sand increased when winter rye cover crops were grown compared to winter fallow at 15-30 cm depth, but there was no effect at 0-15 cm depth. Percent silt increased at all soil depths with winter rye compared to winter fallow. There were no changes in percent clay at any depth when comparing winter rye to winter fallow. In this 7 year experiment, there was no effect of winter rye cover crops on volumetric water saturation at 0-15 cm or 15-30 cm depths. ""Winter rye cover crop treatment significantly increased the water content at field capacity by 10.9% and 10.0% relative to the no cover crop treatment at the 0–15 cm and15–30 cm depths, respectively."" Permanent wilting points measurements were not statistically different between winter rye cover crops and winter fallow. There were significant increases of 21.1% and 21.9% relative to the no cover crop treatment for plant available water at the 0–15 cm and 15–30 cm depths, respectively. Final maize grain yields were nearly identical in the winter rye and winter fallow averaged over this 7 year study. Soybean grain yields were nearly identical in winter rye and winter fallow averaged over this 7 year satudy. It is important to note that 2013 was the second driest year of those included in this analysis (695 mm), and the cover crop still did not havea negative impact on soybean yield."
"48",48,"They found no effect of either cover crop on soil ammonium concentrations in the spring in the first year of the study, but in the second year when cereal rye was grown soil ammonium concentrations increased.  They found winter fallow contained greater soil nitrate concentrations compared with cereal rye,  but was not significantly different from the tillage radish treatment.  They found the application of fall nitrogen into a standing cover crop did not significantly affect corn yield or corn nitrogen uptake compared with winter fallow. ","""The analysis of the impact of cover crops on total ammonium concentrations within the entire soil profile (0–80 cm) at termination of the cereal rye cover crop revealed that differences among treatments in soil ammonium concentration depended on sampling year. We observed that, in the spring of 2012, there was no difference in the soil ammonium concentration among treatments and that the ammonium concentration ranged from 29.32 to 40.66 kg/ha. However, in the following spring, the soil ammonium concentration for the tillage radish treatment (162.77 kg/ha) was similar to the cereal rye treatment (104.45 kg/ha) and was significantly greater compared with the control treatment (53 kg/ha)."" ""The nitrate data indicated that the control treatment (217 kg ha-1) contained significantly greater soil nitrate compared with cereal rye treatment (116 kg/ha) but was not significantly different from the tillage radish treatment (189 kg/ha) when the data were averaged across both years."" ""Across both years, fall-applied nitrogen into a standing cover crop did not significantly affect corn yield or corn nitrogen uptake compared with the control."" These data were collected during a drought year (2012) and under normal growing conditions (2013)."
"49",49,"NA They found winter cover crops had little impact on soybean stand densities compared to winter fallow.  They found little affect of cover crops on root diseases in soybeans.  They found significant differences in soybean cyst nematode counts compared over cover crop treatments were detected at multiple locations every year of the study.  They found in most years at most sites cover crops had no significant affects on soybean yields. ","NA ""Soybean plant populations were not significantly different among cover crop treatments [at the on-farm sites] in all three years, where the plots were not artificially inoculated with pathogens. Soybean populations were not significantly different among cover crop treatments on [the organic research farm] in 2011 and 2012. the only significant result caused by cover crop treatment was detected in 2013, where the rapeseed and cereal rye plots had significantly higher soybean population counts than those observed in the mustard treatment plots. Under high disease pressure [in the inoculated plots], cereal rye and rapeseed significantly maintained soybean stands when Rhizoctonia root rot was severe."" ""Root disease severity was very low on soybean plants grown in the noninoculated fields, and no [consistent] significant differences in general root rot were observed over the three years of the study."" At one site in one year, winter rye signficiantly reduced the root rot rating compared to winter fallow. ""Rapeseed, cereal rye, and canola showed different levels of effictiveness for reducing egg counts, and rapeseed showed the most consistent and significant ability to suppress nematodes."" ""In most years and locations, no significant differences in soybean yield were observed. In the 2011 field trial, the highest yields were in the no-till cereal rye treated plots and in the 2013 [on-farm] field trial (all no-till), soybean yields was significantly higher in the rapeseed plots than the cereal rye plots."""
"50",50,"They found winter rye was effective at reducing total P, sediment loads, and runoff volumes when manures were applied in the fall. ","These data were collected in the spring just before maize planting. Compared to winter fallow, fall-seeded rye was more effective at reducing runoff volumes, total P loads, and sediment loads following fall manure application opposed to spring applied manure. Quantities of reactive P, however, in runoff was unaffected by winter rye compared to winter fallow. When manures were applied in the spring, winter rye was effective at reducing total P runoff, but had no effect on reactive P, sediment loads, or run-off volumes."
"51",51,"They found in the first two years of the study the cover crops studied either reduced or had no effect on maize yields, while in the second two years of the study cover crops had no effect on maize yields compared to winter fallow.  They found averaged across the four year study there were modest, but significant increases in grain moisture with winter cover crops.  They found averaged across the four year study there were modest, but significant decreases in maize plant population density with winter cover crops. ","The effect of cover crops on maize yields were dependent on the year of the study. In the first two years (2006 & 2007), significant effects of cover crops resulted in reductions in yields. The cover crops that consistantly reduced yields during these two years were Aroostook (winter rye), Dacold (winter rye), Boreal (winter triticale) and NE-422t (winter triticale). In the second two years of the experiment (2008 & 2009), there were no significant effects of cover crops on maize yields. The four year average (2006-2009) maize grain mositure content increased with winter cover crops compared to winter fallow. This results was consistent for every cover crop. The four year average (2006-2009) maize plant population density with winter cover crops compared to winter fallow. This results was consistent for every cover crop except winter rye cv. Aroostook which had no effect on plant population density."
